copy,tr,animal,litter,tissue
317,1,1,1,heart
302,2,1,1,heart
298,3,1,1,heart
309,4,1,1,heart
281,5,1,1,heart
303,6,1,1,heart
261,1,2,1,heart
298,2,2,1,heart
246,3,2,1,heart
274,4,2,1,heart
243,5,2,1,heart
262,6,2,1,heart
228,1,3,1,heart
252,2,3,1,heart
245,3,3,1,heart
243,4,3,1,heart
234,5,3,1,heart
223,6,3,1,heart
330,1,4,1,heart
292,2,4,1,heart
316,3,4,1,heart
299,4,4,1,heart
306,5,4,1,heart
293,6,4,1,heart
375,1,1,2,heart
393,2,1,2,heart
366,3,1,2,heart
399,4,1,2,heart
359,5,1,2,heart
350,6,1,2,heart
341,1,2,2,heart
298,2,2,2,heart
319,3,2,2,heart
349,4,2,2,heart
320,5,2,2,heart
346,6,2,2,heart
370,1,3,2,heart
342,2,3,2,heart
371,3,3,2,heart
352,4,3,2,heart
388,5,3,2,heart
389,6,3,2,heart
394,1,4,2,heart
427,2,4,2,heart
404,3,4,2,heart
450,4,4,2,heart
397,5,4,2,heart
377,6,4,2,heart
259,1,1,3,heart
265,2,1,3,heart
248,3,1,3,heart
241,4,1,3,heart
246,5,1,3,heart
263,6,1,3,heart
170,1,2,3,heart
129,2,2,3,heart
144,3,2,3,heart
141,4,2,3,heart
140,5,2,3,heart
153,6,2,3,heart
195,1,3,3,heart
222,2,3,3,heart
195,3,3,3,heart
184,4,3,3,heart
216,5,3,3,heart
247,6,3,3,heart
347,1,4,3,heart
314,2,4,3,heart
329,3,4,3,heart
304,4,4,3,heart
336,5,4,3,heart
307,6,4,3,heart
113,1,1,4,heart
92,2,1,4,heart
90,3,1,4,heart
107,4,1,4,heart
101,5,1,4,heart
100,6,1,4,heart
84,1,2,4,heart
82,2,2,4,heart
68,3,2,4,heart
78,4,2,4,heart
76,5,2,4,heart
77,6,2,4,heart
99,1,3,4,heart
87,2,3,4,heart
99,3,3,4,heart
92,4,3,4,heart
86,5,3,4,heart
103,6,3,4,heart
90,1,4,4,heart
95,2,4,4,heart
75,3,4,4,heart
97,4,4,4,heart
105,5,4,4,heart
88,6,4,4,heart
438,1,1,5,heart
457,2,1,5,heart
379,3,1,5,heart
451,4,1,5,heart
429,5,1,5,heart
434,6,1,5,heart
387,1,2,5,heart
413,2,2,5,heart
377,3,2,5,heart
391,4,2,5,heart
422,5,2,5,heart
400,6,2,5,heart
219,1,3,5,heart
247,2,3,5,heart
243,3,3,5,heart
243,4,3,5,heart
236,5,3,5,heart
265,6,3,5,heart
445,1,4,5,heart
409,2,4,5,heart
432,3,4,5,heart
435,4,4,5,heart
427,5,4,5,heart
458,6,4,5,heart
201,1,1,6,heart
208,2,1,6,heart
209,3,1,6,heart
221,4,1,6,heart
225,5,1,6,heart
202,6,1,6,heart
178,1,2,6,heart
180,2,2,6,heart
180,3,2,6,heart
166,4,2,6,heart
187,5,2,6,heart
191,6,2,6,heart
141,1,3,6,heart
172,2,3,6,heart
149,3,3,6,heart
167,4,3,6,heart
150,5,3,6,heart
159,6,3,6,heart
319,1,4,6,heart
310,2,4,6,heart
277,3,4,6,heart
347,4,4,6,heart
301,5,4,6,heart
322,6,4,6,heart
233,1,1,7,heart
242,2,1,7,heart
256,3,1,7,heart
224,4,1,7,heart
258,5,1,7,heart
232,6,1,7,heart
303,1,2,7,heart
335,2,2,7,heart
286,3,2,7,heart
284,4,2,7,heart
301,5,2,7,heart
305,6,2,7,heart
258,1,3,7,heart
277,2,3,7,heart
246,3,3,7,heart
289,4,3,7,heart
253,5,3,7,heart
217,6,3,7,heart
168,1,4,7,heart
168,2,4,7,heart
164,3,4,7,heart
161,4,4,7,heart
173,5,4,7,heart
155,6,4,7,heart
141,1,1,8,heart
142,2,1,8,heart
128,3,1,8,heart
137,4,1,8,heart
143,5,1,8,heart
149,6,1,8,heart
170,1,2,8,heart
166,2,2,8,heart
185,3,2,8,heart
160,4,2,8,heart
150,5,2,8,heart
168,6,2,8,heart
139,1,3,8,heart
126,2,3,8,heart
133,3,3,8,heart
126,4,3,8,heart
117,5,3,8,heart
125,6,3,8,heart
193,1,4,8,heart
168,2,4,8,heart
175,3,4,8,heart
197,4,4,8,heart
184,5,4,8,heart
207,6,4,8,heart
335,1,1,9,heart
256,2,1,9,heart
284,3,1,9,heart
316,4,1,9,heart
297,5,1,9,heart
303,6,1,9,heart
322,1,2,9,heart
312,2,2,9,heart
340,3,2,9,heart
321,4,2,9,heart
338,5,2,9,heart
307,6,2,9,heart
304,1,3,9,heart
285,2,3,9,heart
327,3,3,9,heart
298,4,3,9,heart
278,5,3,9,heart
263,6,3,9,heart
354,1,4,9,heart
339,2,4,9,heart
348,3,4,9,heart
351,4,4,9,heart
358,5,4,9,heart
329,6,4,9,heart
318,1,1,10,heart
298,2,1,10,heart
320,3,1,10,heart
351,4,1,10,heart
294,5,1,10,heart
357,6,1,10,heart
305,1,2,10,heart
324,2,2,10,heart
359,3,2,10,heart
303,4,2,10,heart
333,5,2,10,heart
316,6,2,10,heart
258,1,3,10,heart
221,2,3,10,heart
236,3,3,10,heart
232,4,3,10,heart
275,5,3,10,heart
257,6,3,10,heart
418,1,4,10,heart
389,2,4,10,heart
445,3,4,10,heart
385,4,4,10,heart
381,5,4,10,heart
409,6,4,10,heart
70,1,1,1,liver
63,2,1,1,liver
63,3,1,1,liver
59,4,1,1,liver
65,5,1,1,liver
74,6,1,1,liver
52,1,2,1,liver
67,2,2,1,liver
60,3,2,1,liver
59,4,2,1,liver
63,5,2,1,liver
45,6,2,1,liver
54,1,3,1,liver
53,2,3,1,liver
39,3,3,1,liver
50,4,3,1,liver
40,5,3,1,liver
54,6,3,1,liver
42,1,4,1,liver
73,2,4,1,liver
61,3,4,1,liver
50,4,4,1,liver
64,5,4,1,liver
67,6,4,1,liver
83,1,1,2,liver
79,2,1,2,liver
81,3,1,2,liver
99,4,1,2,liver
75,5,1,2,liver
95,6,1,2,liver
68,1,2,2,liver
71,2,2,2,liver
89,3,2,2,liver
78,4,2,2,liver
73,5,2,2,liver
89,6,2,2,liver
81,1,3,2,liver
76,2,3,2,liver
66,3,3,2,liver
96,4,3,2,liver
68,5,3,2,liver
105,6,3,2,liver
109,1,4,2,liver
93,2,4,2,liver
95,3,4,2,liver
99,4,4,2,liver
112,5,4,2,liver
95,6,4,2,liver
64,1,1,3,liver
47,2,1,3,liver
53,3,1,3,liver
53,4,1,3,liver
53,5,1,3,liver
69,6,1,3,liver
43,1,2,3,liver
33,2,2,3,liver
37,3,2,3,liver
39,4,2,3,liver
24,5,2,3,liver
27,6,2,3,liver
48,1,3,3,liver
53,2,3,3,liver
48,3,3,3,liver
44,4,3,3,liver
51,5,3,3,liver
31,6,3,3,liver
63,1,4,3,liver
76,2,4,3,liver
59,3,4,3,liver
76,4,4,3,liver
88,5,4,3,liver
78,6,4,3,liver
14,1,1,4,liver
20,2,1,4,liver
22,3,1,4,liver
19,4,1,4,liver
19,5,1,4,liver
25,6,1,4,liver
19,1,2,4,liver
17,2,2,4,liver
21,3,2,4,liver
12,4,2,4,liver
16,5,2,4,liver
25,6,2,4,liver
19,1,3,4,liver
21,2,3,4,liver
25,3,3,4,liver
21,4,3,4,liver
20,5,3,4,liver
13,6,3,4,liver
25,1,4,4,liver
15,2,4,4,liver
27,3,4,4,liver
24,4,4,4,liver
19,5,4,4,liver
16,6,4,4,liver
97,1,1,5,liver
105,2,1,5,liver
99,3,1,5,liver
103,4,1,5,liver
107,5,1,5,liver
93,6,1,5,liver
76,1,2,5,liver
91,2,2,5,liver
86,3,2,5,liver
89,4,2,5,liver
90,5,2,5,liver
86,6,2,5,liver
50,1,3,5,liver
53,2,3,5,liver
52,3,3,5,liver
49,4,3,5,liver
47,5,3,5,liver
45,6,3,5,liver
117,1,4,5,liver
107,2,4,5,liver
102,3,4,5,liver
104,4,4,5,liver
93,5,4,5,liver
95,6,4,5,liver
42,1,1,6,liver
45,2,1,6,liver
38,3,1,6,liver
41,4,1,6,liver
44,5,1,6,liver
47,6,1,6,liver
33,1,2,6,liver
40,2,2,6,liver
41,3,2,6,liver
38,4,2,6,liver
54,5,2,6,liver
39,6,2,6,liver
40,1,3,6,liver
37,2,3,6,liver
27,3,3,6,liver
33,4,3,6,liver
32,5,3,6,liver
38,6,3,6,liver
69,1,4,6,liver
84,2,4,6,liver
64,3,4,6,liver
50,4,4,6,liver
86,5,4,6,liver
76,6,4,6,liver
46,1,1,7,liver
42,2,1,7,liver
40,3,1,7,liver
49,4,1,7,liver
61,5,1,7,liver
60,6,1,7,liver
72,1,2,7,liver
66,2,2,7,liver
79,3,2,7,liver
80,4,2,7,liver
56,5,2,7,liver
62,6,2,7,liver
67,1,3,7,liver
64,2,3,7,liver
62,3,3,7,liver
70,4,3,7,liver
49,5,3,7,liver
39,6,3,7,liver
32,1,4,7,liver
26,2,4,7,liver
42,3,4,7,liver
40,4,4,7,liver
33,5,4,7,liver
40,6,4,7,liver
35,1,1,8,liver
37,2,1,8,liver
37,3,1,8,liver
37,4,1,8,liver
22,5,1,8,liver
39,6,1,8,liver
42,1,2,8,liver
34,2,2,8,liver
39,3,2,8,liver
40,4,2,8,liver
32,5,2,8,liver
41,6,2,8,liver
24,1,3,8,liver
31,2,3,8,liver
26,3,3,8,liver
20,4,3,8,liver
31,5,3,8,liver
21,6,3,8,liver
41,1,4,8,liver
37,2,4,8,liver
37,3,4,8,liver
32,4,4,8,liver
49,5,4,8,liver
30,6,4,8,liver
71,1,1,9,liver
79,2,1,9,liver
79,3,1,9,liver
79,4,1,9,liver
59,5,1,9,liver
60,6,1,9,liver
69,1,2,9,liver
68,2,2,9,liver
69,3,2,9,liver
80,4,2,9,liver
79,5,2,9,liver
73,6,2,9,liver
58,1,3,9,liver
65,2,3,9,liver
66,3,3,9,liver
75,4,3,9,liver
70,5,3,9,liver
80,6,3,9,liver
81,1,4,9,liver
66,2,4,9,liver
78,3,4,9,liver
68,4,4,9,liver
75,5,4,9,liver
84,6,4,9,liver
55,1,1,10,liver
71,2,1,10,liver
63,3,1,10,liver
81,4,1,10,liver
68,5,1,10,liver
77,6,1,10,liver
60,1,2,10,liver
62,2,2,10,liver
68,3,2,10,liver
78,4,2,10,liver
70,5,2,10,liver
59,6,2,10,liver
73,1,3,10,liver
55,2,3,10,liver
52,3,3,10,liver
52,4,3,10,liver
51,5,3,10,liver
61,6,3,10,liver
100,1,4,10,liver
99,2,4,10,liver
94,3,4,10,liver
96,4,4,10,liver
65,5,4,10,liver
82,6,4,10,liver
136,1,1,1,kidney
120,2,1,1,kidney
146,3,1,1,kidney
127,4,1,1,kidney
120,5,1,1,kidney
151,6,1,1,kidney
132,1,2,1,kidney
109,2,2,1,kidney
132,3,2,1,kidney
119,4,2,1,kidney
141,5,2,1,kidney
120,6,2,1,kidney
127,1,3,1,kidney
108,2,3,1,kidney
116,3,3,1,kidney
120,4,3,1,kidney
113,5,3,1,kidney
103,6,3,1,kidney
157,1,4,1,kidney
154,2,4,1,kidney
137,3,4,1,kidney
157,4,4,1,kidney
138,5,4,1,kidney
170,6,4,1,kidney
174,1,1,2,kidney
171,2,1,2,kidney
151,3,1,2,kidney
161,4,1,2,kidney
178,5,1,2,kidney
184,6,1,2,kidney
157,1,2,2,kidney
148,2,2,2,kidney
166,3,2,2,kidney
171,4,2,2,kidney
157,5,2,2,kidney
159,6,2,2,kidney
170,1,3,2,kidney
160,2,3,2,kidney
169,3,3,2,kidney
174,4,3,2,kidney
165,5,3,2,kidney
161,6,3,2,kidney
203,1,4,2,kidney
210,2,4,2,kidney
216,3,4,2,kidney
219,4,4,2,kidney
195,5,4,2,kidney
214,6,4,2,kidney
114,1,1,3,kidney
148,2,1,3,kidney
126,3,1,3,kidney
118,4,1,3,kidney
126,5,1,3,kidney
112,6,1,3,kidney
67,1,2,3,kidney
74,2,2,3,kidney
84,3,2,3,kidney
89,4,2,3,kidney
61,5,2,3,kidney
61,6,2,3,kidney
108,1,3,3,kidney
99,2,3,3,kidney
121,3,3,3,kidney
86,4,3,3,kidney
97,5,3,3,kidney
102,6,3,3,kidney
162,1,4,3,kidney
151,2,4,3,kidney
172,3,4,3,kidney
162,4,4,3,kidney
160,5,4,3,kidney
173,6,4,3,kidney
63,1,1,4,kidney
41,2,1,4,kidney
43,3,1,4,kidney
57,4,1,4,kidney
47,5,1,4,kidney
48,6,1,4,kidney
33,1,2,4,kidney
45,2,2,4,kidney
40,3,2,4,kidney
36,4,2,4,kidney
43,5,2,4,kidney
37,6,2,4,kidney
40,1,3,4,kidney
50,2,3,4,kidney
37,3,3,4,kidney
37,4,3,4,kidney
37,5,3,4,kidney
48,6,3,4,kidney
30,1,4,4,kidney
37,2,4,4,kidney
34,3,4,4,kidney
44,4,4,4,kidney
45,5,4,4,kidney
32,6,4,4,kidney
193,1,1,5,kidney
201,2,1,5,kidney
201,3,1,5,kidney
216,4,1,5,kidney
187,5,1,5,kidney
210,6,1,5,kidney
198,1,2,5,kidney
160,2,2,5,kidney
201,3,2,5,kidney
198,4,2,5,kidney
172,5,2,5,kidney
190,6,2,5,kidney
113,1,3,5,kidney
131,2,3,5,kidney
118,3,3,5,kidney
127,4,3,5,kidney
99,5,3,5,kidney
105,6,3,5,kidney
236,1,4,5,kidney
198,2,4,5,kidney
207,3,4,5,kidney
220,4,4,5,kidney
221,5,4,5,kidney
223,6,4,5,kidney
94,1,1,6,kidney
88,2,1,6,kidney
112,3,1,6,kidney
92,4,1,6,kidney
111,5,1,6,kidney
92,6,1,6,kidney
93,1,2,6,kidney
94,2,2,6,kidney
92,3,2,6,kidney
89,4,2,6,kidney
73,5,2,6,kidney
81,6,2,6,kidney
90,1,3,6,kidney
67,2,3,6,kidney
56,3,3,6,kidney
72,4,3,6,kidney
70,5,3,6,kidney
62,6,3,6,kidney
151,1,4,6,kidney
162,2,4,6,kidney
140,3,4,6,kidney
138,4,4,6,kidney
149,5,4,6,kidney
138,6,4,6,kidney
111,1,1,7,kidney
128,2,1,7,kidney
95,3,1,7,kidney
108,4,1,7,kidney
109,5,1,7,kidney
109,6,1,7,kidney
135,1,2,7,kidney
144,2,2,7,kidney
152,3,2,7,kidney
151,4,2,7,kidney
132,5,2,7,kidney
158,6,2,7,kidney
126,1,3,7,kidney
146,2,3,7,kidney
122,3,3,7,kidney
131,4,3,7,kidney
157,5,3,7,kidney
108,6,3,7,kidney
83,1,4,7,kidney
83,2,4,7,kidney
81,3,4,7,kidney
79,4,4,7,kidney
93,5,4,7,kidney
76,6,4,7,kidney
66,1,1,8,kidney
82,2,1,8,kidney
54,3,1,8,kidney
60,4,1,8,kidney
59,5,1,8,kidney
79,6,1,8,kidney
84,1,2,8,kidney
97,2,2,8,kidney
99,3,2,8,kidney
94,4,2,8,kidney
86,5,2,8,kidney
71,6,2,8,kidney
65,1,3,8,kidney
70,2,3,8,kidney
49,3,3,8,kidney
62,4,3,8,kidney
66,5,3,8,kidney
67,6,3,8,kidney
110,1,4,8,kidney
94,2,4,8,kidney
80,3,4,8,kidney
108,4,4,8,kidney
93,5,4,8,kidney
83,6,4,8,kidney
139,1,1,9,kidney
152,2,1,9,kidney
148,3,1,9,kidney
139,4,1,9,kidney
151,5,1,9,kidney
162,6,1,9,kidney
129,1,2,9,kidney
159,2,2,9,kidney
181,3,2,9,kidney
153,4,2,9,kidney
165,5,2,9,kidney
155,6,2,9,kidney
149,1,3,9,kidney
161,2,3,9,kidney
153,3,3,9,kidney
132,4,3,9,kidney
145,5,3,9,kidney
139,6,3,9,kidney
180,1,4,9,kidney
161,2,4,9,kidney
185,3,4,9,kidney
168,4,4,9,kidney
165,5,4,9,kidney
161,6,4,9,kidney
142,1,1,10,kidney
147,2,1,10,kidney
154,3,1,10,kidney
161,4,1,10,kidney
163,5,1,10,kidney
164,6,1,10,kidney
130,1,2,10,kidney
133,2,2,10,kidney
131,3,2,10,kidney
158,4,2,10,kidney
137,5,2,10,kidney
146,6,2,10,kidney
115,1,3,10,kidney
107,2,3,10,kidney
115,3,3,10,kidney
121,4,3,10,kidney
108,5,3,10,kidney
101,6,3,10,kidney
208,1,4,10,kidney
171,2,4,10,kidney
187,3,4,10,kidney
190,4,4,10,kidney
184,5,4,10,kidney
179,6,4,10,kidney
112,1,1,1,lung
135,2,1,1,lung
137,3,1,1,lung
117,4,1,1,lung
133,5,1,1,lung
127,6,1,1,lung
130,1,2,1,lung
132,2,2,1,lung
132,3,2,1,lung
119,4,2,1,lung
126,5,2,1,lung
124,6,2,1,lung
99,1,3,1,lung
122,2,3,1,lung
111,3,3,1,lung
122,4,3,1,lung
97,5,3,1,lung
98,6,3,1,lung
153,1,4,1,lung
154,2,4,1,lung
149,3,4,1,lung
140,4,4,1,lung
131,5,4,1,lung
128,6,4,1,lung
155,1,1,2,lung
187,2,1,2,lung
178,3,1,2,lung
140,4,1,2,lung
166,5,1,2,lung
156,6,1,2,lung
172,1,2,2,lung
137,2,2,2,lung
136,3,2,2,lung
126,4,2,2,lung
132,5,2,2,lung
163,6,2,2,lung
164,1,3,2,lung
150,2,3,2,lung
163,3,3,2,lung
134,4,3,2,lung
152,5,3,2,lung
168,6,3,2,lung
205,1,4,2,lung
194,2,4,2,lung
187,3,4,2,lung
193,4,4,2,lung
175,5,4,2,lung
188,6,4,2,lung
100,1,1,3,lung
117,2,1,3,lung
103,3,1,3,lung
114,4,1,3,lung
124,5,1,3,lung
103,6,1,3,lung
65,1,2,3,lung
80,2,2,3,lung
66,3,2,3,lung
58,4,2,3,lung
71,5,2,3,lung
70,6,2,3,lung
92,1,3,3,lung
72,2,3,3,lung
96,3,3,3,lung
87,4,3,3,lung
99,5,3,3,lung
74,6,3,3,lung
125,1,4,3,lung
168,2,4,3,lung
149,3,4,3,lung
159,4,4,3,lung
137,5,4,3,lung
125,6,4,3,lung
47,1,1,4,lung
47,2,1,4,lung
43,3,1,4,lung
40,4,1,4,lung
48,5,1,4,lung
47,6,1,4,lung
35,1,2,4,lung
34,2,2,4,lung
32,3,2,4,lung
41,4,2,4,lung
39,5,2,4,lung
41,6,2,4,lung
40,1,3,4,lung
35,2,3,4,lung
38,3,3,4,lung
30,4,3,4,lung
57,5,3,4,lung
46,6,3,4,lung
45,1,4,4,lung
39,2,4,4,lung
34,3,4,4,lung
30,4,4,4,lung
44,5,4,4,lung
59,6,4,4,lung
210,1,1,5,lung
202,2,1,5,lung
183,3,1,5,lung
175,4,1,5,lung
197,5,1,5,lung
200,6,1,5,lung
162,1,2,5,lung
166,2,2,5,lung
170,3,2,5,lung
161,4,2,5,lung
186,5,2,5,lung
189,6,2,5,lung
105,1,3,5,lung
96,2,3,5,lung
109,3,3,5,lung
98,4,3,5,lung
106,5,3,5,lung
93,6,3,5,lung
191,1,4,5,lung
207,2,4,5,lung
195,3,4,5,lung
199,4,4,5,lung
224,5,4,5,lung
204,6,4,5,lung
86,1,1,6,lung
106,2,1,6,lung
90,3,1,6,lung
88,4,1,6,lung
79,5,1,6,lung
87,6,1,6,lung
81,1,2,6,lung
75,2,2,6,lung
59,3,2,6,lung
75,4,2,6,lung
71,5,2,6,lung
56,6,2,6,lung
60,1,3,6,lung
61,2,3,6,lung
79,3,3,6,lung
58,4,3,6,lung
73,5,3,6,lung
70,6,3,6,lung
132,1,4,6,lung
135,2,4,6,lung
143,3,4,6,lung
135,4,4,6,lung
147,5,4,6,lung
126,6,4,6,lung
105,1,1,7,lung
96,2,1,7,lung
90,3,1,7,lung
101,4,1,7,lung
89,5,1,7,lung
103,6,1,7,lung
132,1,2,7,lung
158,2,2,7,lung
135,3,2,7,lung
129,4,2,7,lung
136,5,2,7,lung
158,6,2,7,lung
126,1,3,7,lung
112,2,3,7,lung
115,3,3,7,lung
100,4,3,7,lung
126,5,3,7,lung
111,6,3,7,lung
52,1,4,7,lung
75,2,4,7,lung
69,3,4,7,lung
69,4,4,7,lung
78,5,4,7,lung
90,6,4,7,lung
67,1,1,8,lung
70,2,1,8,lung
75,3,1,8,lung
46,4,1,8,lung
59,5,1,8,lung
50,6,1,8,lung
71,1,2,8,lung
73,2,2,8,lung
72,3,2,8,lung
86,4,2,8,lung
68,5,2,8,lung
61,6,2,8,lung
76,1,3,8,lung
46,2,3,8,lung
60,3,3,8,lung
65,4,3,8,lung
62,5,3,8,lung
61,6,3,8,lung
64,1,4,8,lung
74,2,4,8,lung
91,3,4,8,lung
77,4,4,8,lung
79,5,4,8,lung
83,6,4,8,lung
131,1,1,9,lung
136,2,1,9,lung
138,3,1,9,lung
122,4,1,9,lung
147,5,1,9,lung
129,6,1,9,lung
150,1,2,9,lung
141,2,2,9,lung
164,3,2,9,lung
153,4,2,9,lung
126,5,2,9,lung
149,6,2,9,lung
113,1,3,9,lung
135,2,3,9,lung
117,3,3,9,lung
125,4,3,9,lung
129,5,3,9,lung
127,6,3,9,lung
141,1,4,9,lung
137,2,4,9,lung
145,3,4,9,lung
142,4,4,9,lung
146,5,4,9,lung
165,6,4,9,lung
151,1,1,10,lung
156,2,1,10,lung
126,3,1,10,lung
107,4,1,10,lung
130,5,1,10,lung
154,6,1,10,lung
142,1,2,10,lung
141,2,2,10,lung
143,3,2,10,lung
136,4,2,10,lung
115,5,2,10,lung
142,6,2,10,lung
114,1,3,10,lung
118,2,3,10,lung
116,3,3,10,lung
111,4,3,10,lung
95,5,3,10,lung
119,6,3,10,lung
170,1,4,10,lung
174,2,4,10,lung
177,3,4,10,lung
167,4,4,10,lung
177,5,4,10,lung
175,6,4,10,lung
390,1,1,1,thymus
337,2,1,1,thymus
298,3,1,1,thymus
357,4,1,1,thymus
320,5,1,1,thymus
368,6,1,1,thymus
327,1,2,1,thymus
317,2,2,1,thymus
351,3,2,1,thymus
315,4,2,1,thymus
345,5,2,1,thymus
341,6,2,1,thymus
263,1,3,1,thymus
287,2,3,1,thymus
288,3,3,1,thymus
269,4,3,1,thymus
300,5,3,1,thymus
277,6,3,1,thymus
385,1,4,1,thymus
342,2,4,1,thymus
381,3,4,1,thymus
386,4,4,1,thymus
392,5,4,1,thymus
388,6,4,1,thymus
488,1,1,2,thymus
459,2,1,2,thymus
469,3,1,2,thymus
456,4,1,2,thymus
460,5,1,2,thymus
508,6,1,2,thymus
428,1,2,2,thymus
379,2,2,2,thymus
384,3,2,2,thymus
394,4,2,2,thymus
398,5,2,2,thymus
359,6,2,2,thymus
436,1,3,2,thymus
427,2,3,2,thymus
456,3,3,2,thymus
431,4,3,2,thymus
440,5,3,2,thymus
417,6,3,2,thymus
534,1,4,2,thymus
536,2,4,2,thymus
556,3,4,2,thymus
523,4,4,2,thymus
490,5,4,2,thymus
535,6,4,2,thymus
280,1,1,3,thymus
321,2,1,3,thymus
294,3,1,3,thymus
268,4,1,3,thymus
281,5,1,3,thymus
319,6,1,3,thymus
213,1,2,3,thymus
197,2,2,3,thymus
194,3,2,3,thymus
171,4,2,3,thymus
191,5,2,3,thymus
176,6,2,3,thymus
237,1,3,3,thymus
247,2,3,3,thymus
264,3,3,3,thymus
255,4,3,3,thymus
258,5,3,3,thymus
268,6,3,3,thymus
412,1,4,3,thymus
408,2,4,3,thymus
404,3,4,3,thymus
441,4,4,3,thymus
400,5,4,3,thymus
383,6,4,3,thymus
139,1,1,4,thymus
135,2,1,4,thymus
130,3,1,4,thymus
135,4,1,4,thymus
116,5,1,4,thymus
112,6,1,4,thymus
105,1,2,4,thymus
113,2,2,4,thymus
102,3,2,4,thymus
112,4,2,4,thymus
107,5,2,4,thymus
108,6,2,4,thymus
122,1,3,4,thymus
121,2,3,4,thymus
118,3,3,4,thymus
128,4,3,4,thymus
109,5,3,4,thymus
119,6,3,4,thymus
103,1,4,4,thymus
91,2,4,4,thymus
114,3,4,4,thymus
118,4,4,4,thymus
115,5,4,4,thymus
106,6,4,4,thymus
539,1,1,5,thymus
550,2,1,5,thymus
502,3,1,5,thymus
548,4,1,5,thymus
502,5,1,5,thymus
502,6,1,5,thymus
470,1,2,5,thymus
516,2,2,5,thymus
482,3,2,5,thymus
485,4,2,5,thymus
460,5,2,5,thymus
442,6,2,5,thymus
280,1,3,5,thymus
288,2,3,5,thymus
265,3,3,5,thymus
272,4,3,5,thymus
273,5,3,5,thymus
300,6,3,5,thymus
525,1,4,5,thymus
524,2,4,5,thymus
573,3,4,5,thymus
525,4,4,5,thymus
507,5,4,5,thymus
532,6,4,5,thymus
239,1,1,6,thymus
255,2,1,6,thymus
275,3,1,6,thymus
265,4,1,6,thymus
270,5,1,6,thymus
228,6,1,6,thymus
228,1,2,6,thymus
216,2,2,6,thymus
202,3,2,6,thymus
209,4,2,6,thymus
238,5,2,6,thymus
199,6,2,6,thymus
180,1,3,6,thymus
199,2,3,6,thymus
189,3,3,6,thymus
191,4,3,6,thymus
193,5,3,6,thymus
206,6,3,6,thymus
366,1,4,6,thymus
369,2,4,6,thymus
379,3,4,6,thymus
387,4,4,6,thymus
371,5,4,6,thymus
389,6,4,6,thymus
311,1,1,7,thymus
324,2,1,7,thymus
266,3,1,7,thymus
293,4,1,7,thymus
271,5,1,7,thymus
252,6,1,7,thymus
358,1,2,7,thymus
382,2,2,7,thymus
399,3,2,7,thymus
384,4,2,7,thymus
386,5,2,7,thymus
355,6,2,7,thymus
322,1,3,7,thymus
306,2,3,7,thymus
361,3,3,7,thymus
322,4,3,7,thymus
327,5,3,7,thymus
354,6,3,7,thymus
214,1,4,7,thymus
218,2,4,7,thymus
212,3,4,7,thymus
222,4,4,7,thymus
203,5,4,7,thymus
196,6,4,7,thymus
167,1,1,8,thymus
193,2,1,8,thymus
175,3,1,8,thymus
186,4,1,8,thymus
171,5,1,8,thymus
171,6,1,8,thymus
211,1,2,8,thymus
209,2,2,8,thymus
214,3,2,8,thymus
230,4,2,8,thymus
214,5,2,8,thymus
190,6,2,8,thymus
117,1,3,8,thymus
187,2,3,8,thymus
152,3,3,8,thymus
167,4,3,8,thymus
173,5,3,8,thymus
137,6,3,8,thymus
215,1,4,8,thymus
213,2,4,8,thymus
210,3,4,8,thymus
217,4,4,8,thymus
243,5,4,8,thymus
237,6,4,8,thymus
389,1,1,9,thymus
353,2,1,9,thymus
352,3,1,9,thymus
345,4,1,9,thymus
385,5,1,9,thymus
347,6,1,9,thymus
404,1,2,9,thymus
413,2,2,9,thymus
396,3,2,9,thymus
432,4,2,9,thymus
430,5,2,9,thymus
391,6,2,9,thymus
326,1,3,9,thymus
327,2,3,9,thymus
371,3,3,9,thymus
357,4,3,9,thymus
337,5,3,9,thymus
337,6,3,9,thymus
397,1,4,9,thymus
427,2,4,9,thymus
451,3,4,9,thymus
445,4,4,9,thymus
417,5,4,9,thymus
420,6,4,9,thymus
371,1,1,10,thymus
411,2,1,10,thymus
393,3,1,10,thymus
367,4,1,10,thymus
393,5,1,10,thymus
374,6,1,10,thymus
387,1,2,10,thymus
399,2,2,10,thymus
360,3,2,10,thymus
413,4,2,10,thymus
403,5,2,10,thymus
383,6,2,10,thymus
294,1,3,10,thymus
301,2,3,10,thymus
324,3,3,10,thymus
314,4,3,10,thymus
295,5,3,10,thymus
285,6,3,10,thymus
508,1,4,10,thymus
447,2,4,10,thymus
479,3,4,10,thymus
486,4,4,10,thymus
493,5,4,10,thymus
492,6,4,10,thymus
